month,start,end,value
january,5,6,3.5
january,6,7,4
january,12,13,2
january,16,17,4.5
january,16,17,5
january,16,17,4
january,17,18,4.5
january,19,20,3.5
january,21,22,2
january,26,27,2
january,26,27,4
february,0,1,4.5
february,6,7,2
february,6,7,2.5
february,7,8,3
february,8,9,3.5
february,11,12,3.5
february,12,13,4.5
february,12,13,4
february,16,17,1.5
february,23,24,3.5
february,26,27,2.5
march,0,1,2.5
march,7,8,2
march,10,11,5
march,11,12,3
march,12,13,4.5
march,25,26,3.5
march,27,28,3
march,27,28,3
march,28,29,3.5
april,2,3,4
april,4,5,5
april,17,18,3.5
april,17,18,2.5
april,20,21,3.5
april,20,21,5
april,21,22,5
april,25,26,3
april,25,26,2.5
may,1,2,5
may,2,3,4.5
may,3,4,4.5
may,9,10,4
may,10,11,3
may,15,16,3.5
may,16,17,3.5
may,16,17,4
may,19,20,4
may,22,23,4.5
may,23,24,3.5
may,25,26,3
may,30,31,4
june,9,10,2.5
june,16,17,5
june,27,28,4
july,7,8,2.5
july,7,8,3
july,11,12,3.5
july,16,17,4
july,27,28,3.5
august,5,6,3.5
august,8,9,3
august,9,10,2.5
august,19,20,4
august,23,24,4.5
august,29,30,4.5
september,2,3,2.5
september,10,11,3
september,11,12,4.5
september,11,12,3.5
september,14,15,2.5
september,15,16,3.5
september,19,20,0.5
september,26,27,4
september,26,27,4.5
october,8,9,4
october,10,11,5
october,13,14,2.5
october,13,14,4
october,18,19,4
october,23,24,2
october,24,25,3
october,29,30,3.5
november,6,7,4
november,7,8,3.5
november,8,9,5
november,14,15,2.5
november,16,17,2.5
november,17,18,3.5
november,17,18,4
november,18,19,2
november,20,21,3
november,22,23,4
november,22,23,3
november,24,25,3
december,3,4,4
december,8,9,2.5
december,13,14,4
december,15,16,1
december,19,20,3.5
december,22,23,3
december,26,27,4.5
december,26,27,3.5
