month,start,end,value
january,0,1,3
january,1,2,2.5
january,2,3,3
january,3,4,2.5
january,4,5,2.5
january,7,8,3
january,9,10,3
january,10,11,4.5
january,10,11,3.5
january,10,11,3
january,17,18,3
january,20,21,4.5
january,24,25,3.5
january,30,31,3
february,0,1,4.5
february,2,3,3.5
february,11,12,3
february,13,14,3
february,13,14,4
february,14,15,3.5
february,19,20,3
february,19,20,4.5
february,20,21,2.5
february,20,21,2.5
february,22,23,4
february,23,24,3.5
february,24,25,2.5
february,27,28,4
march,0,1,4.5
march,3,4,1.5
march,4,5,3
march,4,5,4
march,4,5,4
march,7,8,3
march,9,10,3.5
march,12,13,2
march,13,14,2
march,15,16,4.5
march,18,19,4
march,20,21,3
march,24,25,3.5
march,27,28,3
march,29,30,4.5
april,3,4,2.5
april,5,6,4
april,7,8,3.5
april,13,14,3.5
april,17,18,3
april,18,19,2
april,21,22,3
april,22,23,4.5
april,25,26,4
april,25,26,2.5
april,29,30,3
may,1,2,4.5
may,4,5,3
may,9,10,5
may,10,11,3
may,16,17,3
may,17,18,4
may,21,22,1
may,25,26,3
may,25,26,3.5
may,25,26,3.5
june,0,1,4.5
june,6,7,2
june,9,10,3
june,11,12,4.5
june,15,16,3
june,17,18,4
june,22,23,4.5
june,23,24,3
june,24,25,4
june,25,26,3
june,28,29,4.5
july,7,8,2.5
july,8,9,4
july,8,9,3
july,8,9,2.5
july,9,10,4
july,10,11,3.5
july,13,14,4
july,13,14,2.5
july,14,15,2
july,16,17,2.5
july,17,18,4
july,24,25,2.5
july,28,29,3
august,0,1,3.5
august,1,2,2.5
august,2,3,3.5
august,11,12,5
august,13,14,3
august,15,16,4.5
august,18,19,3
august,18,19,2.5
august,19,20,3.5
august,20,21,3.5
august,25,26,3.5
august,27,28,4.5
august,29,30,3
august,30,31,3
september,8,9,3
september,16,17,3.5
september,20,21,2.5
september,26,27,3
september,29,30,3
october,1,2,2.5
october,2,3,4
october,3,4,3.5
october,3,4,3
october,8,9,3
october,11,12,4
october,12,13,4
october,17,18,2.5
october,18,19,4.5
october,18,19,2
october,23,24,3.5
october,24,25,4
october,25,26,4
october,26,27,3.5
october,27,28,3.5
october,28,29,4
october,29,30,4.5
october,29,30,2
october,30,31,4
october,30,31,3
november,1,2,3.5
november,4,5,4.5
november,5,6,4.5
november,9,10,4
november,11,12,2.5
november,14,15,4.5
november,17,18,2.5
november,20,21,3
november,21,22,2
december,1,2,4.5
december,8,9,2
december,10,11,4
december,11,12,3
december,23,24,4
december,27,28,4
